Page,Section,Current Image Path,Suggested SEO Filename,Dimensions (Width x Height),Aspect Ratio,Alt Text (English),Alt Text (Spanish),Priority,File Format,Notes
Homepage,Hero Section,/images/david-josue-wedding-photography-hero-image.webp,david-josue-valle-guadalupe-wedding-photographer-hero-2025.webp,1920x1080,16:9,"David Josué capturing wedding moments in Valle de Guadalupe","David Josué capturando momentos de boda en Valle de Guadalupe",High,WebP + JPG,"Main hero image - ensure high quality (90%)"
Homepage,Service Card 1 - Weddings,/images/david-josue-destination-wedding-photography-service.jpg,david-josue-destination-wedding-photography-mexico.jpg,800x1200,2:3,"Destination wedding photography by David Josué","Fotografía de bodas destino por David Josué",High,WebP + JPG,"Service showcase image"
Homepage,Service Card 2 - Boudoir,/images/david-josue-boudoir-photography-service.jpg,david-josue-boudoir-photography-empowerment-mexico.jpg,800x1200,2:3,"Empowering boudoir photography session","Sesión de fotografía boudoir empoderadora",High,WebP + JPG,"Service showcase image"
Homepage,Service Card 3 - Portraits,/images/david-josue-portrait-photography-service.jpg,david-josue-portrait-photography-artistic-mexico.jpg,800x1200,2:3,"Artistic portrait photography","Fotografía de retrato artístico",High,WebP + JPG,"Service showcase image"
Homepage,Service Card 4 - Fine Art,/images/barco-via-lactea-ensenada-web.jpg,david-josue-fine-art-milky-way-ensenada-landscape.jpg,800x1200,2:3,"Fine art landscape - Milky Way over boat in Ensenada","Paisaje artístico - Vía Láctea sobre barco en Ensenada",High,WebP + JPG,"Service showcase image"
Homepage,Featured Showcase,/images/david-josue-cabo-san-lucas-wedding-destination.jpg,david-josue-cabo-san-lucas-beach-wedding-emotion.jpg,1200x800,3:2,"Emotional wedding moment at Cabo San Lucas beach","Momento emocional de boda en playa de Cabo San Lucas",High,WebP + JPG,"Featured wedding moment"
Homepage,Destination 1,/images/david-josue-valle-de-guadalupe-wedding-destination.jpg,david-josue-valle-guadalupe-vineyard-wedding-venue.jpg,600x400,3:2,"Valle de Guadalupe vineyard wedding venue","Locación de boda en viñedo de Valle de Guadalupe",Medium,WebP + JPG,"Destination showcase"
Homepage,Destination 2,/images/david-josue-cabo-san-lucas-wedding-destination.jpg,david-josue-cabo-san-lucas-beach-wedding-sunset.jpg,600x400,3:2,"Cabo San Lucas beach wedding at sunset","Boda en playa de Cabo San Lucas al atardecer",Medium,WebP + JPG,"Destination showcase"
Homepage,Destination 3,/images/david-josue-san-miguel-de-allende-wedding-destination.jpg,david-josue-san-miguel-allende-colonial-wedding.jpg,600x400,3:2,"Colonial architecture wedding in San Miguel de Allende","Boda en arquitectura colonial en San Miguel de Allende",Medium,WebP + JPG,"Destination showcase"
Homepage,Destination 4,/images/david-josue-tulum-wedding-destination.jpg,david-josue-tulum-beach-mayan-wedding-destination.jpg,600x400,3:2,"Tulum beach wedding with Mayan ruins backdrop","Boda en playa de Tulum con ruinas mayas de fondo",Medium,WebP + JPG,"Destination showcase"
